,word,block,id,cond,order,word_duration,vot_duration,mem_1,mem_2,rest,vot_per,rest_per,freq,KF,word_id
3756,pain,a,1,g1,41,338.601135,97.683958,7.957142857,3.426064463,240.917177,28.84927069,71.15072931,1,91,pain1
3812,pain,b,1,g1,68,379.098856,103.720607,7.957142857,3.426064463,275.378249,27.35977842,72.64022158,1,91,pain1
576,pain,a,10,g2,41,447.161178,59.268917,0.75,1.773534191,387.892261,13.25448628,86.74551372,1,91,pain10
631,pain,b,10,g2,68,466.468338,76.830079,0.75,1.773534191,389.638259,16.47058819,83.52941181,1,91,pain10
655,pain,a,11,g1,41,546.591134,91.647309,3.714285714,3.426064463,454.943825,16.76706834,83.23293166,1,91,pain11
711,pain,b,11,g1,68,566.347439,80.122797,3.714285714,3.426064463,486.224642,14.14728689,85.85271311,1,91,pain11
734,pain,a,12,g1,41,392.320838,39.728692,2.871428571,1.438014982,352.592146,10.12658216,89.87341784,1,91,pain12
787,pain,b,12,g1,68,558.938826,127.59281,2.871428571,1.438014982,431.346016,22.82768777,77.17231223,1,91,pain12
811,pain,a,13,g1,41,689.51224,90.189365,6.216666667,3.426064463,599.322875,13.08016882,86.91983118,1,91,pain13
867,pain,b,13,g1,68,763.700268,130.920046,6.216666667,3.426064463,632.780222,17.14285715,82.85714285,1,91,pain13
890,pain,a,14,g1,41,439.893058,72.919622,8.373809524,2.884883637,366.973436,16.57667032,83.42332968,1,91,pain14
946,pain,b,14,g1,68,487.313502,77.824694,8.373809524,2.884883637,409.488808,15.97014934,84.02985066,1,91,pain14
969,pain,a,15,g1,41,501.86017,53.822685,1,3.045307406,448.037485,10.7246377,89.2753623,1,91,pain15
1025,pain,b,15,g1,68,504.639184,68.194484,1,3.045307406,436.4447,13.51351345,86.48648655,1,91,pain15
1049,pain,a,16,g1,41,449.492157,78.552027,6.207142857,3.398302189,370.94013,17.47572806,82.52427194,1,91,pain16
1105,pain,b,16,g1,68,579.836711,85.825363,6.207142857,3.398302189,494.011348,14.80164353,85.19835647,1,91,pain16
1129,pain,a,17,g1,41,517.13418,111.282039,4.833333333,1.762173268,405.852141,21.51898739,78.48101261,1,91,pain17
1185,pain,b,17,g1,68,471.312164,87.28003,4.833333333,1.762173268,384.032134,18.51851844,81.48148156,1,91,pain17
1209,pain,a,18,g1,41,428.507442,77.324651,11.875,3.426064463,351.182791,18.04511274,81.95488726,1,91,pain18
1265,pain,b,18,g1,68,429.854149,72.733358,11.875,3.426064463,357.120791,16.92047365,83.07952635,1,91,pain18
1289,pain,a,19,g1,41,475.676166,71.278692,4,3.045307406,404.397474,14.98470958,85.01529042,1,91,pain19
1345,pain,b,19,g1,68,469.857498,65.460023,4,3.045307406,404.397475,13.93188856,86.06811144,1,91,pain19
3835,pain,a,2,g1,41,422.817475,68.872678,6.938095238,3.426064463,353.944797,16.28898569,83.71101431,1,91,pain2
3890,pain,b,2,g1,68,487.322217,115.245119,6.938095238,3.426064463,372.077098,23.64864867,76.35135133,1,91,pain2
1369,pain,a,20,g1,41,533.420265,99.879103,8.857142857,3.426064463,433.541162,18.72427981,81.27572019,1,91,pain20
1425,pain,b,20,g1,68,568.542586,90.00095,8.857142857,3.426064463,478.541636,15.83011585,84.16988415,1,91,pain20
1449,pain,a,21,g2,41,417.48948,76.370027,5.2,1.968031607,341.119453,18.29268297,81.70731703,1,91,pain21
1505,pain,b,21,g2,68,479.797793,89.462031,5.2,1.968031607,390.335762,18.64577793,81.35422207,1,91,pain21
1529,pain,a,22,g2,41,440.764154,66.91469,5.675,2.198905607,373.849464,15.18151814,84.81848186,1,91,pain22
1585,pain,b,22,g2,68,510.371241,80.122797,5.675,2.198905607,430.248444,15.69892474,84.30107526,1,91,pain22
1609,pain,a,23,g2,41,418.175145,60.366491,4.964285714,2.243635605,357.808654,14.4356956,85.5643044,1,91,pain23
1665,pain,b,23,g2,68,381.955249,73.537361,4.964285714,2.243635605,308.417888,19.25287352,80.74712648,1,91,pain23
1689,pain,a,24,g2,41,524.639683,79.025224,3.571428571,2.579662663,445.614459,15.06276146,84.93723854,1,91,pain24
1745,pain,b,24,g2,68,465.629378,92.694737,3.571428571,2.579662663,372.934641,19.90740735,80.09259265,1,91,pain24
1768,pain,a,25,g2,41,498.297942,105.366966,1.916666667,1.51171755,392.930976,21.14537451,78.85462549,1,91,pain25
1821,pain,b,25,g2,68,436.833878,93.293668,1.916666667,1.51171755,343.54021,21.35678405,78.64321595,1,91,pain25
1845,pain,a,26,g2,41,429.150867,79.025224,2.2,1.968031607,350.125643,18.41432235,81.58567765,1,91,pain26
1901,pain,b,26,g2,68,444.516885,68.049498,2.2,1.968031607,376.467387,15.30864188,84.69135812,1,91,pain26
1925,pain,a,27,g2,41,433.815611,69.97026,3.6,0.967591848,363.845351,16.1290323,83.8709677,1,91,pain27
1980,pain,b,27,g2,68,454.39504,80.122797,3.6,0.967591848,374.272243,17.63285026,82.36714974,1,91,pain27
2004,pain,a,28,g2,41,473.053773,79.025224,11.90714286,2.198905607,394.028549,16.70533637,83.29466363,1,91,pain28
2060,pain,b,28,g2,68,545.49356,69.147071,11.90714286,2.198905607,476.346489,12.67605634,87.32394366,1,91,pain28
2084,pain,a,29,g2,41,428.053298,63.659208,8.371428571,2.884883637,364.39409,14.87179477,85.12820523,1,91,pain29
2139,pain,b,29,g2,68,513.663958,118.537836,8.371428571,2.884883637,395.126122,23.07692299,76.92307701,1,91,pain29
19,pain,a,3,g1,41,388.687994,81.769156,1.821428571,3.426064463,306.918838,21.03722195,78.96277805,1,91,pain3
75,pain,b,3,g1,68,367.202405,72.209157,1.821428571,3.426064463,294.993248,19.66467431,80.33532569,1,91,pain3
2161,pain,a,30,g2,41,373.723457,52.683483,3,1.938414631,321.039974,14.09691632,85.90308368,1,91,pain30
2217,pain,b,30,g2,68,467.262049,76.205828,3,1.938414631,391.056221,16.30901293,83.69098707,1,91,pain30
2241,pain,a,31,g1,41,363.296513,94.391239,8.25,3.426064463,268.905274,25.9818731,74.0181269,1,91,pain31
2297,pain,b,31,g1,68,414.882425,88.903377,8.25,3.426064463,325.979048,21.42857148,78.57142852,1,91,pain31
2321,pain,a,32,g1,41,363.296517,74.086148,6.857142857,3.426064463,289.210369,20.39274932,79.60725068,1,91,pain32
2377,pain,b,32,g1,68,426.955724,54.878628,6.857142857,3.426064463,372.077096,12.85347049,87.14652951,1,91,pain32
2401,pain,a,33,g1,41,536.712982,86.708232,5.458333333,3.426064463,450.00475,16.15541917,83.84458083,1,91,pain33
2457,pain,b,33,g1,68,631.104222,92.196095,5.458333333,3.426064463,538.908127,14.60869565,85.39130435,1,91,pain33
2481,pain,a,34,g1,41,507.078522,96.586385,6.514285714,3.426064463,410.492137,19.04761902,80.95238098,1,91,pain34
2537,pain,b,34,g1,68,458.785328,69.147071,6.514285714,3.426064463,389.638257,15.07177034,84.92822966,1,91,pain34
2561,pain,a,35,g1,41,394.028549,77.927652,7.333333333,3.426064463,316.100897,19.77715884,80.22284116,1,91,pain35
2617,pain,b,35,g1,68,484.029494,68.049498,7.333333333,3.426064463,415.979996,14.05895691,85.94104309,1,91,pain35
2641,pain,a,36,g1,41,538.908126,82.317942,8.804761905,3.426064463,456.590184,15.27494911,84.72505089,1,91,pain36
2697,pain,b,36,g1,68,487.322212,99.879102,8.804761905,3.426064463,387.44311,20.49549549,79.50450451,1,91,pain36
2721,pain,a,37,g2,41,559.762005,97.135172,6.733333333,2.504126581,462.626833,17.35294127,82.64705873,1,91,pain37
2775,pain,b,37,g2,68,480.73678,81.220369,6.733333333,2.504126581,399.516411,16.89497712,83.10502288,1,91,pain37
2799,pain,a,38,g2,41,537.810554,106.464538,4.75,2.884883637,431.346016,19.79591832,80.20408168,1,91,pain38
2855,pain,b,38,g2,68,508.176093,113.049973,4.75,2.884883637,395.12612,22.24622027,77.75377973,1,91,pain38
2879,pain,a,39,g2,41,477.444064,75.732507,4.857142857,2.884883637,401.711557,15.86206903,84.13793097,1,91,pain39
2935,pain,b,39,g2,68,393.646262,88.903377,4.857142857,2.884883637,304.742885,22.5845856,77.4154144,1,91,pain39
99,pain,a,4,g1,41,369.881953,48.841979,5.5,3.426064463,321.039974,13.20474779,86.79525221,1,91,pain4
155,pain,b,4,g1,68,335.034024,53.506662,5.5,3.426064463,281.527362,15.97051588,84.02948412,1,91,pain4
2959,pain,a,40,g2,41,478.541636,84.513087,5.777777778,2.884883637,394.028549,17.66055044,82.33944956,1,91,pain40
3015,pain,b,40,g2,68,407.199415,62.561635,5.777777778,2.884883637,344.63778,15.36388136,84.63611864,1,91,pain40
3039,pain,a,41,g2,41,486.22464,90.000949,3.125,1.438014982,396.223691,18.51015798,81.48984202,1,91,pain41
3095,pain,b,41,g2,68,505.980949,96.586385,3.125,1.438014982,409.394564,19.08893708,80.91106292,1,91,pain41
3119,pain,a,42,g2,41,403.906699,43.902902,8.833333333,2.579662663,360.003797,10.8695652,89.1304348,1,91,pain42
3174,pain,b,42,g2,68,415.98,93.293667,8.833333333,2.579662663,322.686333,22.4274405,77.5725595,1,91,pain42
3198,pain,a,43,g1,41,488.419789,82.317942,5.478571429,3.426064463,406.101847,16.85393259,83.14606741,1,91,pain43
3254,pain,b,43,g1,68,400.613984,80.671583,5.478571429,3.426064463,319.942401,20.13698628,79.86301372,1,91,pain43
3278,pain,a,44,g2,41,450.004745,87.805804,12.31746032,3.426064463,362.198941,19.51219514,80.48780486,1,91,pain44
3334,pain,b,44,g2,68,480.736781,76.830079,12.31746032,3.426064463,403.906702,15.98173513,84.01826487,1,91,pain44
3358,pain,a,45,g1,41,612.445484,90.000949,2.75,1.773534191,522.444535,14.69534046,85.30465954,1,91,pain45
3414,pain,b,45,g1,68,647.567808,87.805805,2.75,1.773534191,559.762003,13.55932212,86.44067788,1,91,pain45
3438,pain,a,46,g2,41,496.768837,91.644031,6.666666667,3.426064463,405.124806,18.44802334,81.55197666,1,91,pain46
3494,pain,b,46,g2,68,545.500191,122.192043,6.666666667,3.426064463,423.308148,22.40000004,77.59999996,1,91,pain46
