"","word","block","id","cond","order","word_duration","vot_duration","mem_1","mem_2","rest","vot_per","rest_per","freq","KF","word_id"
"3756","pain","a",1,"g1",41,338.601135,97.683958,7.957142857,3.426064463,240.917177,28.8492706913106,71.1507293086894,1,91,"pain1"
"3812","pain","b",1,"g1",68,379.098856,103.720607,7.957142857,3.426064463,275.378249,27.3597784214891,72.6402215785109,1,91,"pain1"
"576","pain","a",10,"g2",41,447.161178,59.268917,0.75,1.773534191,387.892261,13.2544862827962,86.7455137172038,1,91,"pain10"
"631","pain","b",10,"g2",68,466.468338,76.830079,0.75,1.773534191,389.638259,16.4705881924188,83.5294118075812,1,91,"pain10"
"655","pain","a",11,"g1",41,546.591134,91.647309,3.714285714,3.426064463,454.943825,16.7670683439955,83.2329316560045,1,91,"pain11"
"711","pain","b",11,"g1",68,566.347439,80.122797,3.714285714,3.426064463,486.224642,14.1472868918544,85.8527131081456,1,91,"pain11"
"734","pain","a",12,"g1",41,392.320838,39.728692,2.871428571,1.438014982,352.592146,10.1265821623271,89.8734178376729,1,91,"pain12"
"787","pain","b",12,"g1",68,558.938826,127.59281,2.871428571,1.438014982,431.346016,22.8276877656017,77.1723122343982,1,91,"pain12"
"811","pain","a",13,"g1",41,689.51224,90.189365,6.216666667,3.426064463,599.322875,13.0801688161475,86.9198311838525,1,91,"pain13"
"867","pain","b",13,"g1",68,763.700268,130.920046,6.216666667,3.426064463,632.780222,17.1428571503395,82.8571428496605,1,91,"pain13"
"890","pain","a",14,"g1",41,439.893058,72.919622,8.373809524,2.884883637,366.973436,16.5766703233585,83.4233296766415,1,91,"pain14"
"946","pain","b",14,"g1",68,487.313502,77.824694,8.373809524,2.884883637,409.488808,15.9701493352015,84.0298506647985,1,91,"pain14"
"969","pain","a",15,"g1",41,501.86017,53.822685,1,3.045307406,448.037485,10.7246377013741,89.2753622986259,1,91,"pain15"
"1025","pain","b",15,"g1",68,504.639184,68.194484,1,3.045307406,436.4447,13.513513449245,86.486486550755,1,91,"pain15"
"1049","pain","a",16,"g1",41,449.492157,78.552027,6.207142857,3.398302189,370.94013,17.4757280581427,82.5242719418573,1,91,"pain16"
"1105","pain","b",16,"g1",68,579.836711,85.825363,6.207142857,3.398302189,494.011348,14.8016435268446,85.1983564731554,1,91,"pain16"
"1129","pain","a",17,"g1",41,517.13418,111.282039,4.833333333,1.762173268,405.852141,21.5189873931752,78.4810126068248,1,91,"pain17"
"1185","pain","b",17,"g1",68,471.312164,87.28003,4.833333333,1.762173268,384.032134,18.5185184399357,81.4814815600643,1,91,"pain17"
"1209","pain","a",18,"g1",41,428.507442,77.324651,11.875,3.426064463,351.182791,18.0451127380887,81.9548872619113,1,91,"pain18"
"1265","pain","b",18,"g1",68,429.854149,72.733358,11.875,3.426064463,357.120791,16.9204736465159,83.0795263534841,1,91,"pain18"
"1289","pain","a",19,"g1",41,475.676166,71.278692,4,3.045307406,404.397474,14.9847095765568,85.0152904234432,1,91,"pain19"
"1345","pain","b",19,"g1",68,469.857498,65.460023,4,3.045307406,404.397475,13.9318885574111,86.0681114425889,1,91,"pain19"
"3835","pain","a",2,"g1",41,422.817475,68.872678,6.938095238,3.426064463,353.944797,16.2889856905749,83.7110143094251,1,91,"pain2"
"3890","pain","b",2,"g1",68,487.322217,115.245119,6.938095238,3.426064463,372.077098,23.6486486722193,76.3513513277807,1,91,"pain2"
"1369","pain","a",20,"g1",41,533.420265,99.879103,8.857142857,3.426064463,433.541162,18.7242798134038,81.2757201865962,1,91,"pain20"
"1425","pain","b",20,"g1",68,568.542586,90.00095,8.857142857,3.426064463,478.541636,15.8301158464144,84.1698841535856,1,91,"pain20"
"1449","pain","a",21,"g2",41,417.48948,76.370027,5.2,1.968031607,341.119453,18.2926829677241,81.7073170322759,1,91,"pain21"
"1505","pain","b",21,"g2",68,479.797793,89.462031,5.2,1.968031607,390.335762,18.645777930871,81.354222069129,1,91,"pain21"
"1529","pain","a",22,"g2",41,440.764154,66.91469,5.675,2.198905607,373.849464,15.1815181413323,84.8184818586677,1,91,"pain22"
"1585","pain","b",22,"g2",68,510.371241,80.122797,5.675,2.198905607,430.248444,15.6989247362392,84.3010752637608,1,91,"pain22"
"1609","pain","a",23,"g2",41,418.175145,60.366491,4.964285714,2.243635605,357.808654,14.435695598312,85.564304401688,1,91,"pain23"
"1665","pain","b",23,"g2",68,381.955249,73.537361,4.964285714,2.243635605,308.417888,19.2528735218403,80.7471264781597,1,91,"pain23"
"1689","pain","a",24,"g2",41,524.639683,79.025224,3.571428571,2.579662663,445.614459,15.0627614648052,84.9372385351948,1,91,"pain24"
"1745","pain","b",24,"g2",68,465.629378,92.694737,3.571428571,2.579662663,372.934641,19.9074073457625,80.0925926542375,1,91,"pain24"
"1768","pain","a",25,"g2",41,498.297942,105.366966,1.916666667,1.51171755,392.930976,21.1453745076876,78.8546254923124,1,91,"pain25"
"1821","pain","b",25,"g2",68,436.833878,93.293668,1.916666667,1.51171755,343.54021,21.3567840541891,78.6432159458109,1,91,"pain25"
"1845","pain","a",26,"g2",41,429.150867,79.025224,2.2,1.968031607,350.125643,18.4143223459921,81.5856776540079,1,91,"pain26"
"1901","pain","b",26,"g2",68,444.516885,68.049498,2.2,1.968031607,376.467387,15.3086418753249,84.6913581246751,1,91,"pain26"
"1925","pain","a",27,"g2",41,433.815611,69.97026,3.6,0.967591848,363.845351,16.129032295244,83.870967704756,1,91,"pain27"
"1980","pain","b",27,"g2",68,454.39504,80.122797,3.6,0.967591848,374.272243,17.6328502617458,82.3671497382542,1,91,"pain27"
"2004","pain","a",28,"g2",41,473.053773,79.025224,11.90714286,2.198905607,394.028549,16.7053363719815,83.2946636280185,1,91,"pain28"
"2060","pain","b",28,"g2",68,545.49356,69.147071,11.90714286,2.198905607,476.346489,12.6760563406101,87.3239436593899,1,91,"pain28"
"2084","pain","a",29,"g2",41,428.053298,63.659208,8.371428571,2.884883637,364.39409,14.8717947735564,85.1282052264436,1,91,"pain29"
"2139","pain","b",29,"g2",68,513.663958,118.537836,8.371428571,2.884883637,395.126122,23.0769229870709,76.9230770129291,1,91,"pain29"
"19","pain","a",3,"g1",41,388.687994,81.769156,1.821428571,3.426064463,306.918838,21.0372219523714,78.9627780476286,1,91,"pain3"
"75","pain","b",3,"g1",68,367.202405,72.209157,1.821428571,3.426064463,294.993248,19.6646743095269,80.3353256904731,1,91,"pain3"
"2161","pain","a",30,"g2",41,373.723457,52.683483,3,1.938414631,321.039974,14.0969163195983,85.9030836804017,1,91,"pain30"
"2217","pain","b",30,"g2",68,467.262049,76.205828,3,1.938414631,391.056221,16.3090129324841,83.6909870675159,1,91,"pain30"
"2241","pain","a",31,"g1",41,363.296513,94.391239,8.25,3.426064463,268.905274,25.9818731042981,74.0181268957019,1,91,"pain31"
"2297","pain","b",31,"g1",68,414.882425,88.903377,8.25,3.426064463,325.979048,21.4285714802212,78.5714285197788,1,91,"pain31"
"2321","pain","a",32,"g1",41,363.296517,74.086148,6.857142857,3.426064463,289.210369,20.3927493199721,79.6072506800278,1,91,"pain32"
"2377","pain","b",32,"g1",68,426.955724,54.878628,6.857142857,3.426064463,372.077096,12.8534704924111,87.1465295075889,1,91,"pain32"
"2401","pain","a",33,"g1",41,536.712982,86.708232,5.458333333,3.426064463,450.00475,16.1554191733711,83.8445808266289,1,91,"pain33"
"2457","pain","b",33,"g1",68,631.104222,92.196095,5.458333333,3.426064463,538.908127,14.6086956458358,85.3913043541642,1,91,"pain33"
"2481","pain","a",34,"g1",41,507.078522,96.586385,6.514285714,3.426064463,410.492137,19.0476190194465,80.9523809805535,1,91,"pain34"
"2537","pain","b",34,"g1",68,458.785328,69.147071,6.514285714,3.426064463,389.638257,15.0717703422286,84.9282296577715,1,91,"pain34"
"2561","pain","a",35,"g1",41,394.028549,77.927652,7.333333333,3.426064463,316.100897,19.7771588372902,80.2228411627098,1,91,"pain35"
"2617","pain","b",35,"g1",68,484.029494,68.049498,7.333333333,3.426064463,415.979996,14.058956911415,85.941043088585,1,91,"pain35"
"2641","pain","a",36,"g1",41,538.908126,82.317942,8.804761905,3.426064463,456.590184,15.2749491107135,84.7250508892865,1,91,"pain36"
"2697","pain","b",36,"g1",68,487.322212,99.879102,8.804761905,3.426064463,387.44311,20.4954954936468,79.5045045063532,1,91,"pain36"
"2721","pain","a",37,"g2",41,559.762005,97.135172,6.733333333,2.504126581,462.626833,17.3529412736758,82.6470587263242,1,91,"pain37"
"2775","pain","b",37,"g2",68,480.73678,81.220369,6.733333333,2.504126581,399.516411,16.8949771224078,83.1050228775922,1,91,"pain37"
"2799","pain","a",38,"g2",41,537.810554,106.464538,4.75,2.884883637,431.346016,19.7959183225698,80.2040816774302,1,91,"pain38"
"2855","pain","b",38,"g2",68,508.176093,113.049973,4.75,2.884883637,395.12612,22.2462202683746,77.7537797316254,1,91,"pain38"
"2879","pain","a",39,"g2",41,477.444064,75.732507,4.857142857,2.884883637,401.711557,15.8620690276296,84.1379309723704,1,91,"pain39"
"2935","pain","b",39,"g2",68,393.646262,88.903377,4.857142857,2.884883637,304.742885,22.584585599342,77.415414400658,1,91,"pain39"
"99","pain","a",4,"g1",41,369.881953,48.841979,5.5,3.426064463,321.039974,13.2047477861133,86.7952522138867,1,91,"pain4"
"155","pain","b",4,"g1",68,335.034024,53.506662,5.5,3.426064463,281.527362,15.9705158781127,84.0294841218873,1,91,"pain4"
"2959","pain","a",40,"g2",41,478.541636,84.513087,5.777777778,2.884883637,394.028549,17.6605504395442,82.3394495604558,1,91,"pain40"
"3015","pain","b",40,"g2",68,407.199415,62.561635,5.777777778,2.884883637,344.63778,15.3638813552814,84.6361186447186,1,91,"pain40"
"3039","pain","a",41,"g2",41,486.22464,90.000949,3.125,1.438014982,396.223691,18.5101579796532,81.4898420203468,1,91,"pain41"
"3095","pain","b",41,"g2",68,505.980949,96.586385,3.125,1.438014982,409.394564,19.0889370817003,80.9110629182997,1,91,"pain41"
"3119","pain","a",42,"g2",41,403.906699,43.902902,8.833333333,2.579662663,360.003797,10.8695652012447,89.1304347987553,1,91,"pain42"
"3174","pain","b",42,"g2",68,415.98,93.293667,8.833333333,2.579662663,322.686333,22.4274405019472,77.5725594980528,1,91,"pain42"
"3198","pain","a",43,"g1",41,488.419789,82.317942,5.478571429,3.426064463,406.101847,16.8539325911711,83.1460674088289,1,91,"pain43"
"3254","pain","b",43,"g1",68,400.613984,80.671583,5.478571429,3.426064463,319.942401,20.1369862815373,79.8630137184627,1,91,"pain43"
"3278","pain","a",44,"g2",41,450.004745,87.805804,12.31746032,3.426064463,362.198941,19.5121951436312,80.4878048563688,1,91,"pain44"
"3334","pain","b",44,"g2",68,480.736781,76.830079,12.31746032,3.426064463,403.906702,15.9817351275229,84.0182648724771,1,91,"pain44"
"3358","pain","a",45,"g1",41,612.445484,90.000949,2.75,1.773534191,522.444535,14.6953404590702,85.3046595409298,1,91,"pain45"
"3414","pain","b",45,"g1",68,647.567808,87.805805,2.75,1.773534191,559.762003,13.5593221150363,86.4406778849637,1,91,"pain45"
"3438","pain","a",46,"g2",41,496.768837,91.644031,6.666666667,3.426064463,405.124806,18.4480233408844,81.5519766591156,1,91,"pain46"
"3494","pain","b",46,"g2",68,545.500191,122.192043,6.666666667,3.426064463,423.308148,22.4000000395967,77.5999999604033,1,91,"pain46"
