word,block,id,cond,order,word_duration,vot_duration,mem_1,mem_2
pall,a,3,g1,0,334.851737,64.756781,1.821428571,3.426064463
policy,a,3,g1,4,579.792705,91.372916,1.821428571,3.426064463
Paris,a,3,g1,7,586.103747,79.848404,1.821428571,3.426064463
purchase,a,3,g1,8,542.809557,43.948169,1.821428571,3.426064463
pebble,a,3,g1,9,375.464844,58.330769,1.821428571,3.426064463
peal,a,3,g1,14,357.169884,100.976676,1.821428571,3.426064463
panther,a,3,g1,16,481.834354,80.147432,1.821428571,3.426064463
personal,a,3,g1,17,441.772956,57.622559,1.821428571,3.426064463
possibly,a,3,g1,18,539.500462,72.55492,1.821428571,3.426064463
payment,a,3,g1,21,392.930977,69.695858,1.821428571,3.426064463
porcelain,a,3,g1,23,530.676333,80.122797,1.821428571,3.426064463
paw,a,3,g1,25,359.202588,66.40314,1.821428571,3.426064463
piping,a,3,g1,28,458.236544,58.171346,1.821428571,3.426064463
pave,a,3,g1,29,315.552111,69.170046,1.821428571,3.426064463
party,a,3,g1,30,426.40694,102.074248,1.821428571,3.426064463
park,a,3,g1,32,399.518925,76.830079,1.821428571,3.426064463
public,a,3,g1,38,516.955495,81.219188,1.821428571,3.426064463
parcel,a,3,g1,40,485.127072,80.519148,1.821428571,3.426064463
pain,a,3,g1,41,388.687994,81.769156,1.821428571,3.426064463
pointer,a,3,g1,42,470.035449,88.903377,1.821428571,3.426064463
power,a,3,g1,44,406.327389,90.138147,1.821428571,3.426064463
positive,a,3,g1,47,498.662043,59.268918,1.821428571,3.426064463
polarize,a,3,g1,49,802.325542,83.668342,1.821428571,3.426064463
pocket,a,3,g1,50,411.58971,88.695408,1.821428571,3.426064463
panama,a,3,g1,53,503.940383,87.380681,1.821428571,3.426064463
pair,a,3,g1,54,402.80913,104.384524,1.821428571,3.426064463
pamper,a,3,g1,55,476.664433,90.657467,1.821428571,3.426064463
politic,a,3,g1,57,603.251908,55.82393,1.821428571,3.426064463
permit,a,3,g1,58,383.60161,64.619585,1.821428571,3.426064463
pendant,a,3,g1,59,502.731781,87.257019,1.821428571,3.426064463
peacock,a,3,g1,61,595.433114,77.378866,1.821428571,3.426064463
pallet,a,3,g1,62,387.9919,64.619585,1.821428571,3.426064463
point,a,3,g1,65,398.144446,68.598285,1.821428571,3.426064463
