,word,block,id,cond,order,word_duration,vot,KF,vot_per,word_id
19,pain,a,3,g1,41,388.687994,81.769156,91,21.03722195,pain3
75,pain,b,3,g1,68,367.202405,72.209157,91,19.66467431,pain3
99,pain,a,4,g1,41,369.881953,48.841979,91,13.20474779,pain4
155,pain,b,4,g1,68,335.034024,53.506662,91,15.97051588,pain4
179,pain,a,5,g1,41,502.194314,90.385537,91,17.99812035,pain5
235,pain,b,5,g1,68,466.470588,78.256285,91,16.77625278,pain5
258,pain,a,6,g2,41,507.678845,93.826033,91,18.48137537,pain6
314,pain,b,6,g2,68,490.202854,93.812406,91,19.1374663,pain6
338,pain,a,7,g2,41,525.13485,91.644032,91,17.45152355,pain7
394,pain,b,7,g2,68,437.127486,58.186687,91,13.31114809,pain7
418,pain,a,8,g2,41,479.562571,79.279361,91,16.53159896,pain8
474,pain,b,8,g2,68,531.146717,81.006778,91,15.25129976,pain8
497,pain,a,9,g2,41,651.958101,90.00095,91,13.80471381,pain9
552,pain,b,9,g2,68,611.347916,104.81818,91,17.14542199,pain9
576,pain,a,10,g2,41,447.161178,59.268917,91,13.25448628,pain10
631,pain,b,10,g2,68,466.468338,76.830079,91,16.47058819,pain10
655,pain,a,11,g1,41,546.591134,91.647309,91,16.76706834,pain11
711,pain,b,11,g1,68,566.347439,80.122797,91,14.14728689,pain11
734,pain,a,12,g1,41,392.320838,39.728692,91,10.12658216,pain12
787,pain,b,12,g1,68,558.938826,127.59281,91,22.82768777,pain12
811,pain,a,13,g1,41,689.51224,90.189365,91,13.08016882,pain13
867,pain,b,13,g1,68,763.700268,130.920046,91,17.14285715,pain13
890,pain,a,14,g1,41,439.893058,72.919622,91,16.57667032,pain14
946,pain,b,14,g1,68,487.313502,77.824694,91,15.97014934,pain14
969,pain,a,15,g1,41,501.86017,53.822685,91,10.7246377,pain15
1025,pain,b,15,g1,68,504.639184,68.194484,91,13.51351345,pain15
1049,pain,a,16,g1,41,449.492157,78.552027,91,17.47572806,pain16
1105,pain,b,16,g1,68,579.836711,85.825363,91,14.80164353,pain16
1129,pain,a,17,g1,41,517.13418,111.282039,91,21.51898739,pain17
1185,pain,b,17,g1,68,471.312164,87.28003,91,18.51851844,pain17
1209,pain,a,18,g1,41,428.507442,77.324651,91,18.04511274,pain18
1265,pain,b,18,g1,68,429.854149,72.733358,91,16.92047365,pain18
1289,pain,a,19,g1,41,475.676166,71.278692,91,14.98470958,pain19
1345,pain,b,19,g1,68,469.857498,65.460023,91,13.93188856,pain19
1369,pain,a,20,g1,41,533.420265,99.879103,91,18.72427981,pain20
1425,pain,b,20,g1,68,568.542586,90.00095,91,15.83011585,pain20
1449,pain,a,21,g2,41,417.48948,76.370027,91,18.29268297,pain21
1505,pain,b,21,g2,68,479.797793,89.462031,91,18.64577793,pain21
1529,pain,a,22,g2,41,440.764154,66.91469,91,15.18151814,pain22
1585,pain,b,22,g2,68,510.371241,80.122797,91,15.69892474,pain22
1609,pain,a,23,g2,41,418.175145,60.366491,91,14.4356956,pain23
1665,pain,b,23,g2,68,381.955249,73.537361,91,19.25287352,pain23
1689,pain,a,24,g2,41,524.639683,79.025224,91,15.06276146,pain24
1745,pain,b,24,g2,68,465.629378,92.694737,91,19.90740735,pain24
1768,pain,a,25,g2,41,498.297942,105.366966,91,21.14537451,pain25
1821,pain,b,25,g2,68,436.833878,93.293668,91,21.35678405,pain25
1845,pain,a,26,g2,41,429.150867,79.025224,91,18.41432235,pain26
1901,pain,b,26,g2,68,444.516885,68.049498,91,15.30864188,pain26
1925,pain,a,27,g2,41,433.815611,69.97026,91,16.1290323,pain27
1980,pain,b,27,g2,68,454.39504,80.122797,91,17.63285026,pain27
2004,pain,a,28,g2,41,473.053773,79.025224,91,16.70533637,pain28
2060,pain,b,28,g2,68,545.49356,69.147071,91,12.67605634,pain28
2084,pain,a,29,g2,41,428.053298,63.659208,91,14.87179477,pain29
2139,pain,b,29,g2,68,513.663958,118.537836,91,23.07692299,pain29
2161,pain,a,30,g2,41,373.723457,52.683483,91,14.09691632,pain30
2217,pain,b,30,g2,68,467.262049,76.205828,91,16.30901293,pain30
2241,pain,a,31,g1,41,363.296513,94.391239,91,25.9818731,pain31
2297,pain,b,31,g1,68,414.882425,88.903377,91,21.42857148,pain31
2321,pain,a,32,g1,41,363.296517,74.086148,91,20.39274932,pain32
2377,pain,b,32,g1,68,426.955724,54.878628,91,12.85347049,pain32
2401,pain,a,33,g1,41,536.712982,86.708232,91,16.15541917,pain33
2457,pain,b,33,g1,68,631.104222,92.196095,91,14.60869565,pain33
2481,pain,a,34,g1,41,507.078522,96.586385,91,19.04761902,pain34
2537,pain,b,34,g1,68,458.785328,69.147071,91,15.07177034,pain34
2561,pain,a,35,g1,41,394.028549,77.927652,91,19.77715884,pain35
2617,pain,b,35,g1,68,484.029494,68.049498,91,14.05895691,pain35
2641,pain,a,36,g1,41,538.908126,82.317942,91,15.27494911,pain36
